606|130826552|202406|12
101565012|1|02|E310000004824||20240628||60240.7||60240.7|10843.33||||10843.33||||||||03
130432597|1|02|B0100000399||20240626||45508.5||45508.5|8191.53||||8191.53||||||||03
132683511|1|02|B0100000104||20240605||52854.79||52854.79|9513.86||||9513.86||||||||03
101019921|1|02|B0116494968||20240626||1856.79||1856.79|204.77||||204.77||||||||03
101019921|1|02|B0116488584||20240605||2973.76||2973.76|317.25||||317.25||||||||03
101019921|1|02|B0116492806||20240610||3396.03||3396.03|400.82||||400.82||||||||03
101602465|1|02|E310005248399||20240620||2832||2832|432||||432||||||||03
130403899|1|02|E310000077387||20240626||11695||11695|1784||||1784||||||||03
101622832|1|02|B0100192294||20240623||2890||2890|440.85||||440.85||||||||03
101065992|1|02|B0100189621||20240624||6966.94||6966.94|1251.05||||1251.05||||||||03
122014195|1|02|B0100060203||20240621||5615||5615|1010.7||||1010.7||||||||03
130634343|1|02|B0100026450||20240605||7380.7||7380.7|1130.58||||1130.58||||||||03
