606|130826552|202503|12
131280447|1|02|B0100002223||20250317||9500||9500|1710||||1710||||||||03
101029609|1|02|E310000041597||20250317||15426.47||15426.47|2776.76||||2776.76||||||||03
130336164|1|02|E310000000920||20250311||53326.7||53326.7|6291.6||||6291.6||||||||03
101825652|1|02|B0100138278||20250328||11500||11500|2070||||2070||||||||03
101055571|1|02|E310000036984||20250306||9190.9||9190.9|1654.35||||1654.35||||||||03
101801875|1|02|E310000338423||20250307||9360.17||9360.17|1684.83||||1684.83||||||||03
101019921|1|02|B0119606785||20250307||3448.98||3448.98|418.29||||418.29||||||||03
101019921|1|02|B0119413769||20250307||4050.71||4050.71|550.47||||550.47||||||||03
130634343|1|02|B0100032347||20250331||10387||10387|1358.42||||1358.42||||||||03
130325553|1|02|B0100073465||20250324||2118.64||2118.64|381.36||||381.36||||||||03
131369529|1|02|E310000322485||20250303||37072.03||37072.03|6672.97||||6672.97||||||||03
131369529|1|02|E310000322805||20250305||18694.92||18694.92|3365.08||||3365.08||||||||03
